No. ,明星,性别,生日,职业,国籍,出生地,简介,百度百科链接
193,陈妍希,女,1983年5月31日,演员、歌手,中国,台湾省台北市,"陈妍希，1983年5月31日出生于台湾省台北市，中国台湾影视女演员、流行乐歌手，毕业于南加利福尼亚大学。2006年，出演个人首部电视剧《换换爱》而进入演艺圈。2009年，凭借爱情片《听说》提名第46届金马奖最佳新人演员。2011年，因出演青春爱情片《那些年，我们一起追的女孩。》中沈佳宜一角获得关注，并凭借该片提名第48届台湾电影金马奖最佳女主角。2013年，发行个人首张原创音乐专辑《Me,Myself,And I》，并获得第11届CCTV-MTV音乐盛典港澳台地区年度最受欢迎潜力歌手",https://baike.baidu.com/item/%E9%99%88%E5%A6%8D%E5%B8%8C
194,张靓颖,女,1984年10月11日,歌手,中国,四川成都,张靓颖，1984年10月11日出生于四川成都，中国流行女歌手，现任中华全国青年联合会委员。2006年，发行首张专辑《THEONE》，年终销量超过100万张，并凭此专辑获得中国金唱片奖通俗类女演员奖。2007年，发行专辑《UPDATE*JANE》，并在美国洛杉矶举行售票演唱会。2008年，跟随时任国家主席胡锦涛出访日本，在日本首相官邸为两国元首献唱《印象西湖雨》。2016年英文单曲《Dust My ShouldersOff》登上美国公告牌数字音乐销量榜，并获得美国、德国、英国流行艺术大奖。2017年，成为首位登上维多利亚的秘密时尚秀表演的亚洲歌手,https://baike.baidu.com/item/%E5%BC%A0%E9%9D%93%E9%A2%96
195,倪妮,女,988年8月8日,演员,中国,南京,倪妮，1988年8月8日生于南京，毕业于中国传媒大学南广学院语言传播系，中国内地影视女演员。2011年，因出演战争史诗电影《金陵十三钗》女主角玉墨一角而进入演艺圈，并凭借此片获得第六届亚洲电影大奖最佳新演员等多个奖项。2013年1月，与Angelababy、杨幂及刘诗诗被评为内地新“四小花旦”，随后主演爱情悬疑电影《杀戒》、爱情电影《我想和你好好的》及治愈系电影《等风来》。2014年，主演校园爱情电影《匆匆那年》，同年成为第九届中国作家榜授予的首任“阅读星大使”。,https://baike.baidu.com/item/%E5%80%AA%E5%A6%AE/24849
196,彭丽媛,女,1962年11月20日,中国著名女高音歌唱家，中国第一位民族声乐硕士，国家一级演员,中国,山东省菏泽市,"彭丽媛，1962年11月20日出生于山东省菏泽市郓城县，中国著名女高音歌唱家，中国第一位民族声乐硕士，国家一级演员，享受国务院颁发的“政府津贴”。1985年7月加入中国共产党，是中国人民解放军文职干部，正军级待遇。[1] 
彭丽媛是连续当选第八届、九届、十届中国人民政治协商会议的全国政协委员。2005年当选中华全国青联联合会副主席。2009年担任中国人民解放军总政治部歌舞团团长。2012年升任解放军艺术学院院长。[2] 
彭丽媛现在是解放军艺术学院院长，中国音乐家协会理事，中国歌剧研究会副主席，全国妇联执委，担任中国音乐学院客座教授，北京大学、上海师范大学兼职教授。",https://baike.baidu.com/item/%E5%BD%AD%E4%B8%BD%E5%AA%9B
197,邓紫棋,女,1991年8月16日,歌手,中国,上海,"G.E.M.邓紫棋.，原名邓诗颖，1991年8月16日生于中国上海，4岁移居香港，中国香港创作型女歌手。2008年7月10日以16岁之龄出道。同年10月16日发行首张EP《G.E.M.》，取得香港各大乐坛颁奖礼新人金奖[。2014年1月，参加湖南卫视《我是歌手第二季》节目，获得总决赛亚军。3月31日，获第27届KCA美国儿童选择奖“最受欢迎亚洲艺人”。12月10日，邓紫棋的蜡像入驻香港杜莎夫人蜡像馆。2015年7月，未满24岁便完成80场个人演唱会。截至北京时间2015年11月22日伦敦温布利终站，《G.E.M.X.X.X.Live”世界巡回演唱会》已经完成73场。打破之前华语乐坛女歌手单轮巡演59场的记录。2016年1月5日，邓紫棋入选《福布斯》""全球30岁以下30位最具潜力杰出音乐人""。 ",https://baike.baidu.com/item/%E9%82%93%E7%B4%AB%E6%A3%8B
198,林心如,女,1976年1月27日,演员、歌手、影视制作人,中国,台湾省台北市,林心如，1976年1月27日出生于台湾省台北市，中国台湾女演员、歌手、影视制作人。1993年以兼职广告模特出道。1994年因与郭富城合拍广告而正式踏入演艺圈。1998年因在清宫剧《还珠格格》中饰演“夏紫薇”一角而打开知名度，次年继续主演《还珠格格第二部》，该剧先后创造了中国电视剧收视记录。2001年主演的民国剧《情深深雨濛濛》成为年度电视剧收视冠军，发行首张个人国语专辑《双面林心如》。2010年因在古装剧《美人心计》中饰演传奇皇后窦漪房一角，而获得第5届首尔国际电视节中国最受欢迎演员奖。2016年7月31日，与霍建华在巴厘岛举办婚礼。2017年1月6日，林心如生下女儿“小天使”,https://baike.baidu.com/item/%E6%9E%97%E5%BF%83%E5%A6%82
199,翟天临,男,1987年2月15日,演员,中国,山东省青岛市,翟天临，1987年2月15日出生于山东省青岛市，毕业于北京电影学院2006级表演本科班，2014级博士研究生，中国内地影视演员。2000年，翟天临主演杜琪峰导演的青春文艺片《少年往事》。2012年，主演医疗剧《心术》，凭借该剧获第二届搜狐视频电视剧最佳男配角、最佳新人。2016年，作为单元男主参演古装神话剧《青丘狐传说》。2017年，主演年代剧《白鹿原》；同年，参演三国题材战争权谋古装剧《大军师司马懿之军师联盟》。,https://baike.baidu.com/item/%E7%BF%9F%E5%A4%A9%E4%B8%B4
200,贾乃亮,男,1984年4月12日,演员,中国,黑龙江省哈尔滨,贾乃亮，1984年4月12日出生于黑龙江省哈尔滨松北区，中国内地男演员，毕业于北京电影学院。2002年贾乃亮出演第一部电视剧《北京假日》；2011年主演家庭情感剧《当婆婆遇上妈》获得亚洲偶像盛典最受媒体关注艺人奖；2014年主演《产科男医生》于东方卫视、江苏卫视、深圳卫视播出，取得全国同时段收视率第一的成绩。2012年7月6日贾乃亮与李小璐举行婚礼，两人于2012年10月23日获得一女。2014年，参加浙江卫视明星亲子真人秀节目《爸爸回来了》,https://baike.baidu.com/item/%E8%B4%BE%E4%B9%83%E4%BA%AE
201,舒淇,女,1976年4月16日,演员、模特,中国,台湾省新北市,"舒淇，1976年4月16日出生于台湾省新北市新店区，华语影视女演员、模特。
她从高中开始就当上了业余模特。1996年从台湾到香港发展，被王晶发掘主演多部影片，后凭借尔冬升导演的《色情男女》获得第16届香港电影金像奖最佳女配角、最佳新人两项奖项。1998年凭借电影《古惑仔情义篇之洪兴十三妹》获得第35届台湾电影金马奖最佳女配角。2001年登上美国《时代周刊》封面，并对舒淇进行了专访。2016年9月3日冯德伦和舒淇宣布结婚",https://baike.baidu.com/item/%E8%88%92%E6%B7%87
202,章子怡,女,1979年2月9日,演员、制片人,中国,北京市,章子怡，1979年2月9日出生于北京市，华语影视女演员、制片人，毕业于中央戏剧学院表演系。1996年，出演个人首部电影《星星点灯》，从而正式进入演艺圈。1998年，在剧情电影《我的父亲母亲》中饰演女主角招娣，并凭借该片获得第23届大众电影百花奖最佳女主角奖。1999年，在武侠动作电影《卧虎藏龙》中饰演玉娇龙，并凭借该片获得了美国独立精神奖最佳女配角奖、第13届芝加哥影评人协会奖佳新人奖等多个奖项。2004年，其主演的古装武侠电影《十面埋伏》上映，并凭借该片获得第11届中国电影华表奖优秀女演员奖。2005年，凭借电影《2046》获得第24届香港电影金像奖最佳女主角奖；同年，凭借剧情电影《艺伎回忆录》入围第63届美国电影电视金球奖电影类-剧情类最佳女主角奖,https://baike.baidu.com/item/%E7%AB%A0%E5%AD%90%E6%80%A1
203,李宇春,女,1984年3月10日,歌手、演员、词曲创作人,中国,四川成都,宇春，1984年3月10日出生于成都，中国流行女歌手、演员、词曲创作人、演唱会导演。2005年，李宇春获得”超级女声“全国总冠军，登上美国《时代周刊》封面。2006年发行首张专辑《皇后与梦想》，年终销量137万张，创立品牌演唱会“WhyMe”。2007年发行专辑《我的》并首次开展全国巡演，再登美国《时代周刊》。2008年发行专辑《少年中国》，获得MTV亚洲音乐大奖中国最受欢迎歌手奖。2009年发行专辑《李宇春》，入驻杜莎夫人蜡像馆，获得亚洲音乐节亚洲最佳歌手奖。2010年成立个人工作室。,https://baike.baidu.com/item/%E6%9D%8E%E5%AE%87%E6%98%A5/80102
203,蔡明,女,1961年10月21日,名表演艺术家，国家一级演员,中国,北京,蔡明，1961年10月21日出生于北京，著名表演艺术家，国家一级演员。1973年，被导演谢铁骊选中在影片《海霞》饰演童年海霞。1980年，参演电影《戴手铐的旅客》。1990年蔡明的第一个小品《普拉尼特的长发》与陈佩斯、朱时茂合演，在北京电视台亮相。1991年中央电视台春节联欢晚会上，蔡明与巩汉林合作表演了小品《陌生人》。2000年，在电视剧《闲人马大姐》中饰演马大姐，获得《中国大众电视》老百姓最喜爱影视明星等荣誉称号。1991年至2017年，蔡明共计有26次登上央视春晚表演小品,https://baike.baidu.com/item/%E8%94%A1%E6%98%8E/5462
204,金秀贤,男,1988年2月16日,演员,韩国,韩国首尔,金秀贤，1988年2月16日出生于首尔，韩国男演员。2007年进入演艺圈。2011年首次担当男主角的电视剧《DreamHigh》位居韩国年度月火迷你剧收视率冠军。2012年主演电视剧《拥抱太阳的月亮》收视率达42.2%，凭借此剧获得百想艺术大赏最佳男演员奖；同年，凭借电影处女作《盗贼同盟》获得韩国青龙电影奖人气明星奖。2013年首部主演电影《伟大的隐藏者》票房突破696万观影人次，并在韩国三大电f影颁奖礼中的韩国电影大钟奖和百想艺术大赏上获得了最佳新人奖。2014年，主演电视剧《来自星星的你》，凭借此剧获得韩国电视剧大奖最高演技大赏、东京国际电视剧节亚洲最佳演员奖等荣誉，成为百想艺术大赏50年首位影视人气双料得主，以三座奖杯刷新了单届获奖数量的纪录。2015年凭借电视剧《制作人》获得KBS演技大赏等三座演技大赏 ,https://baike.baidu.com/item/%E9%87%91%E7%A7%80%E8%B4%A4/2363730
,,,,,,,,
,,,,,,,,
